canciones,songs
llueve,"(?) does it rain, (it) rains, it's raining"
mal tiempo,bad weather
marzo,March
mayo,May
mes,month
meses,"months, month"
nieva,"(?) is it snowing, snow, (it) snows"
noviembre,November
nublado,cloudy
octubre,October
oscuro,dark
oscuros,dark
otoños,"autumns, falls"
primavera,spring
primaveras,spring
qué tiempo hace,what's the weather like
septiembre,September
sol,"sun, sunny"
viento,"wind, windy"
vientos,"winds, guy rope, guys"
anoche,last night
aprendimos,"(we) learned, learn"
bailamos,"(we) dance, (we) danced"
barco,"boat, ship"
barcos,"boats, ships, shallow ravine"
bebimos,(we) drank
caminamos,"(we) walk, (we) walked, (we) are walking"
cenamos,"(we) ate dinner, (we) eat dinner, (we) had dinner"
comimos,"(we) ate, (we) had"
conocimos,"(we) met, (we) knew, knew"
corrimos,"run, (we) went running, (we) ran"
después,"after, later, next"
disfrutamos,"(we) enjoy, (we) are enjoying, (we) enjoyed"
escuchamos,"(we) listened to, (?) did we listen to, (we) are are listening to"
estuvimos,(we) were
fuimos,"(we) went, (we) were, go"
montamos,"(we) ride, (we) rode, start"
nadamos,"(we) swim, (we) swam"
nieve,snow
pasamos,"spend, (we) spent, (we) are spending"
practicamos,"(we) played, (we) practice, (we) practiced"
queridos,dear
salimos,"(we) went out, (we) go out, (we) are leaving"
viajamos,"(we) travel, (we) traveled, we're traveling"
vimos,"(we) saw, (we) watched"
visitamos,"(we) visit, (we) visited"
coger,"take, (to) take, catch"
cojo,"(I) take, I'm taking, get"
el azul,the blue one
el mío,mine
el rojo,the red one
encontraste,"(?) did you find, (you) found"
encontré,"(I) found, find"
la amarilla,the yellow one
la tuya,yours
sí,"yes, yeah, does"
