probar,"(to) try, touch, try"
buscamos,"(we) are looking for, search"
busca,"(she) is looking for, (she) searches"
precio,price
precios,prices
baratas,cheap
baratos,cheap
barato,cheap
barata,cheap
talla,size
tallas,sizes
me puedo probar,(?) can I try on
probador,fitting room
probadores,"fitting rooms, testers"
caros,expensive
cara,"face, expensive, faces"
caras,expensive
cuesta,"(?) does it cost, (it) costs, (it) is"
trece,"13, thirteen"
quince,"fifteen, 15, fifteenth"
cuestan,"(?) do they cost, (they) cost, are"
pesos,pesos
peso,"weight, by weight, (I) weigh"
dólares,dollars
dólar,dollar
catorce,"14, fourteen"
dieciséis,"sixteen, 16, 16th"
diecisiete,"seventeen, 17, 17th"
dieciocho,"eighteen, 18, 18th"
diecinueve,"nineteen, 19"
veinte,"20, twentieth, twenty"
en efectivo,cash
tarjeta de crédito,"credit card, credit"
cómo te va,how's it going
mira,"looks, (he) looks at, (she) watches"
qué te parece,"What do you think, (?) How does it sound"
invitación,"invitation, invite"
llamó,"(?) did he call, (he) called, (she) called"
donde,"where, when, because"
oye,"hey, (you) hear"
cómo le va,how are you
qué le parece,(?) what do you think
patio,"backyard, patio, yard"
sorpresa,"surprise, favor"
genial,"cool, great"
centro,"downtown, center"
parece,"looks, (?) what about, (it) seems"
pena,shame
quiénes,"who, who all, whom"
bar,bar
parrilla,grill
medianoche,midnight
mediodía,noon
llega,"(?) does it arrive, (he) arrives, (it) arrives"
llegue,"(he) arrives, (he) gets, (you) arrive"
interesarse,(you-plural) take interest
naturaleza,nature
quería,"(he) wanted, (she) wanted"
cree,"(?) does he think, (he) believes, (he) thinks"
me llamaba,"(he/she/it/you)  called (me), (he/she/it/you)  used to call (me), (he/she/it/you)  was/were calling (me)"
serpiente,"snake, serpent"
creía,"believe, (she) thought, (they) believed"
corazón,heart
conocías,"(you) used to know each other, (you) were trying, (you) were knowing of"
león,lion
desierto,"desert, deserted"
visitante,"visitor, visit, visiting"
necesitaba,"needed, (I) needed, (he) needed"
collar,"necklace, collar"
oro,"gold, golden"
propios,"own, of your own, messengers"
vista,"sight, view"
miel,honey
estar de acuerdo,"agreed, agree"
pato,duck
encantar,"(to) love, love"
simple,"simple, simple-minded, simpleton"
magia,magic
puente,bridge
silvestre,wild
había una vez,once upon a time
rey,king
reinas,queens
castillo,castle
hablaba,"(he) spoke, (he) talked, (he) was talking"
salón,hall
violín,violin
montaña,mountain
oveja,sheep
mar,sea
intentar,"(to) try, try"
rezar,(to) pray
llorar,"(to) cry, crying"
lentamente,"slowly, slow"
intenta,"Try, try, try to!"
sortija,ring
artistas,"artists, actors, actresses"
campo,"field, country, countryside"
bailarín,dancer
hasta,"until, to, even"
guerra,war
jugaban,"(they) used to play, (they) were playing, (?) did you use to play"
visitaba,"(she) used to visit, (he) used to visit"
visitaban,"(they) used to visit, (they) were visiting, (?) did you use to visit"
tradición,tradition
durante,"during, for, in"
día de acción de gracias,Thanksgiving Day
tenían,"(?) did you use to have, (they) had, (they) used to have"
nochevieja,New Years Eve
vivían,"(?) did they use to live, (?) did they live, (?) did you use to live"
comían,"(?) did you use to eat, (they) used to eat, (they) were eating"
tarjeta,card
eran,"(it) was, (they) were"
especiales,special
navidad,Christmas
juguete,toy
nochebuena,Christmas Eve
jugábamos,"(we) played, (we) were playing, (we) used to play"
éramos,"were, (we) were, (we) were being"
año nuevo,New Year's
teníamos,"(we) had, (we) used to have, had"
iglesia,church
vivíamos,"(we) used to be alive, (we) lived, stayed"
comíamos,"(we) used to eat, eating, (we) were eating"
reservar,(to) reserve
idea,idea
turista,tourist
catedral,cathedral
planear,(to) plan
isla,island
bienvenido,welcome
reserva,"reservation, (she) is reserving"
ópera,"opera, opera house"
equipaje,"luggage, baggage"
estadio,stadium
pasajero,passenger
identificación,identification
regresar,"return, (to) return, (to) come back"
coche,"car, automobile"
tranvía,tram
internacionales,"international, internationals"
vuelo,"flight, (I) fly"
confortable,comfortable
asiento,seat
regreso,"return, (I) return, (I) come back"
barco,"boat, ship"
capital,"capital, capital city"
helicóptero,helicopter
servicios,"services, bathroom, bathrooms"
en todas partes,everywhere
agradable,"nice, pleasant"
hace frío,it's cold
hace calor,is hot
sol,"sun, sunny"
viento,"wind, windy"
mal tiempo,bad weather
buen tiempo,good weather
qué tiempo hace,what's the weather like
nublado,cloudy
oscuros,dark
oscuro,dark
cómo está el tiempo,how's the weather
inviernos,"winter, winters"
invierno,winter
enero,January
febrero,February
marzo,March
nieva,"(?) is it snowing, snow, (it) snows"
llueve,"(?) does it rain, (it) rains, it's raining"
primavera,spring
abril,April
mayo,May
junio,June
julio,"July, Julio"
otoño,"fall, autumn"
otoños,"autumns, falls"
mes,month
meses,"months, month"
agosto,August
septiembre,September
octubre,October
noviembre,November
diciembre,December
trabaja,"(?) do you work, (?) does he work, (?) does she work"
espera,"(she) hopes, (she) is waiting for, (you) wait"
usa,"(?) are you using, (?) does he wear, (he) is using"
jamás,"never, ever"
proyecto,project
tampoco,"neither, either, (I) don't"
use,(you) use
ayude,(you) help
escuche,"(you) listen up, (you) listen"
colega,colleague
disponible,available
tú haces,you do
tú pones,you put
haz,"(you) do, (you) make"
pon,(you) put
tú vas,you go
reunión,meeting
usted hace,you do
haga,"(he) makes, (you) ask, (you) do"
ponga,(you) put
usted pone,you put
usted va,you go
vaya,"(I) go, (he) is going, (you) go"
empresa,"company, firm, business"
diciendo,"saying, telling"
carpeta,folder
gerente,manager
horario,schedule
pidiendo,"asking for, asking"
adentro,"inside, in"
durmiendo,"sleeping, falling asleep"
muriendo,dying
yendo,"going, leaving"
oyendo,"hearing, getting, listening"
trayendo,"bringing, getting"
trabajador,worker
pintor,"painter, artist"
repetir,(to) repeat
programa,"program, show, software"
compañía,company
presidente,president
increíble,"amazing, awesome, incredible"
completar,"(to) complete, (to) finish, finish"
empresarios,"businessmen, businesspeople"
repitiendo,repeating
edificio,building
cocinero,cook
director,director
afuera,"outside, out"
llamada,call
