feo,"ugly, bad"
comimos,"(we) ate, (we) had"
corrimos,"run, (we) went running, (we) ran"
anoche,last night
fuimos,"(we) went, (we) were, go"
queridos,dear
querida,dear
querido,"wanted, dear"
bailamos,"(we) dance, (we) danced"
escuchamos,"(we) listened to, (?) did we listen to, (we) are are listening to"
montamos,"(we) ride, (we) rode, start"
visitamos,"(we) visit, (we) visited"
cenamos,"(we) ate dinner, (we) eat dinner, (we) had dinner"
estuvimos,(we) were
conocimos,"(we) met, (we) knew, knew"
escribimos,"(we) write, (we) wrote"
abrimos,"open, (we) open, (we) opened"
aprendimos,"(we) learned, learn"
barco,"boat, ship"
después,"after, later, next"
enseñando,teaching
necesitar,"need, (to) need, needed"
sentarnos,"(to) sit, sit"
estudió,"study, studied, (he) studied"
estudiaron,"study, (?) did you study, (they) studied"
estudiamos,"(we) study, (we) studied"
preocuparte,"(to) worry, worry"
preocuparme,"(to) worry, worrying, worry"
preocuparnos,"(to) worry, worry"
nos sentamos,"(we)  sit, (?) should we sit"
habló,"(he) spoke, (he) talked, speak"
hablaron,"(they) spoke, (they) talked"
hablamos,"(we) speak, (we) spoke, (we) talk"
preocuparse,"(to) worry (oneself), worry, worried"
enseñé,"taught, (I) taught"
enseñó,"(he) taught, (she) taught, show"
enseñaste,"(you) taught, (?) did you teach"
enseñaron,"(they) taught, taught"
enseñamos,"(we) are teaching, (we) taught, (we) teach"
empecé,"(I) started, (I) began"
parar,(to) stop
empezamos,"start, (we) started, (we) start"
empezaron,"(?) did you start, (they) started, start"
empezó,"(?) did it start, (he) began, (he) started"
empezaste,"(you) started, (?) did you start"
olvidó,"(he) forgot, (she) forgot"
olvidaron,"forgot, (they) forgot"
olvidamos,"(we) forget, (we) forgot, forget"
olvidé,(I) forgot
olvidaste,(?) did you forget
responder,"answer, (to) answer"
ejemplo,example
ejemplos,examples
vi,"(I) saw, see, (I) watched"
cogiste,"(?) did you take, get, (you) took"
cogieron,(they) took
cogí,"got, get, made"
cogió,(he) took
respondes,(you) answer
respondo,(I) answer
responde,"(he) answers, (he) is answering, (you) answer"
respondemos,(we) answer
responden,(they) answer
comprendes,(?) do you understand
comprendemos,understand
comprendo,understand
comprenden,(they) understand
comprende,(he) understands
respondiste,"answer, (you) answered"
respondió,"answer, (he) answered, (she) answered"
respondí,"answer, (I) answered"
respondieron,"answer, (they) answered"
respondimos,(we) answered
viste,"(you) saw, (?) did you see, (?) did you watch"
vieron,"(they) saw, (they) watched"
vio,"(?) did you see, (he) watched, (she) saw"
cantaron,"(they) sang, sing"
canté,(I) sang
cantó,"sang, (?) did he sing, (he) sang"
cantamos,"(we) sing, (we) sang"
cantaste,"sing, (?) did you sing"
te preocupas,(you) worry
se preocupan,"(they) worry, (they) care about"
se preocupa,"(he) worries, (she) is worrying"
nos preocupamos,"(we) are worried, (we) worry"
me preocupo,"I'm worried, (I) worry"
dibujé,(I) drew
dibujamos,"(we) drew, (we) draw"
dibujaron,"(you) drew, (?) did you draw, draw"
dibujaste,"(you) drew, (?) did you draw, draw"
dibujó,"(he) drew, (she) drew"
encontramos,"(we) find, (we) found"
tomamos,"(we) have, (we) take, (?) are we taking"
tomó,"(?) did it take, (he) took, (it) took"
tomé,"(I) took, (I) had, take"
tomaste,"take, (?) did you drink, (you) ate"
tomaron,"(?) did you drink, (they) had, (they) took"
te sientas,"(?) are you sitting, (you)  seat, (you)  sit"
se sienta,(she) sits
me siento,I feel
se sientan,"(they/you-plural)  feel, (they/you-plural)  seat, (they/you-plural)  sit"
encuentran,(they) find
encuentras,(you) find
encuentro,(I) find
ninguno de,none
nadie,"nobody, no one, anybody"
ciento,"a hundred, one hundred, percent"
compré,"(I) bought, (I) got, buy"
compró,"(?) did she buy, (he) bought, (she) bought"
pobres,poor
pobre,poor
ay,"ouch, oh"
mi nuevo,my new
último,"last, latest, final"
última,"last, latest, final"
últimos,"last, final"
últimas,"last, lasts, last ones"
completamente,completely
ninguno,"none, any, neither"
ningunos,"none, no one, neither"
con nadie,with nobody
buen,"good, nice"
primer,first
segundos,"seconds, second-in-command, deputies"
segundo,"second, 2"
segunda,"second, second gear, second class"
pagó,"(she) paid for, pay, (?) did you pay"
tercer,third
algún,"any, one, some"
ningún,"no, any"
pagamos,"(we) pay, (we) are paying for, (we) paid"
olvidan,"forget, (they) forget"
olvidas,(you) forget
olvido,"(I) forget, forget"
olvida,"(she) forgets, forget"
doscientos,"200, two hundred"
gran,"great, big, large"
temporada,"season, run, running"
rato,"while, time"
desde,"from, since, as"
madrugada,"dawn, daybreak"
hay alguna,There are some
hay algún,is there any
nacionalidad,nationality
trescientos,"three hundred, 300"
espere,(you) wait
vine,"(I) came, (I) arrived, come"
viniste,"come, (you) arrived, (you) came"
alguien,"someone, somebody, anyone"
algo de,some
cuatrocientos,"four hundred, 400"
vino,"wine, (?) did he come, (he) came"
querría,(I) would like
nos vemos,see you
fumar,"smoking, (to) smoke"
quinientos,"500, five hundred"
vinimos,"(we) came, (we) arrived, come"
compraste,"buy, (?) did you buy, (?) did you get"
vinieron,"(?) did you come, (they) came, come"
entonces,"then, so"
siguiente,"next, following"
siguientes,"following, next, followings"
seiscientos,"600, six hundred"
compraron,"(?) did you buy, (they) got, (?) did they buy"
caminaron,"(?) did you walk, (they) walked, walk"
disfrutando,enjoying
encontraron,"(?) did you find, (they) found, find"
posible,possible
ruidos,noises
ruido,"noise, noisy"
viajó,"(?) did you travel, (she) traveled, travel"
viajaron,"(?) did you travel, (they) traveled, travel"
disfruté,(I) enjoyed
caminaste,"(?) did you walk, (you) walked, walk"
disfrutó,"(he) enjoyed, (it) enjoyed, (she) enjoyed"
visitaron,"(?) did you visit, visit, (they) visited"
miramos,"look, (we) watched, (we) are looking"
salí,"(I) went out, (I) left"
saliste,"(?) did you leave, (you) went out, (?) did you go out"
bebió,"(?) did you drink, (he) drank, (she) drank"
conocieron,"(?) did you meet, (they) met, meet"
abrí,"(I) opened, bored, get"
abriste,"start, bored, open"
vivimos,"(we) live, (we) lived, (we) have lived"
hice,"(I) did, (I) made, (I) asked"
hiciste,"(you) did, (you) made, (?) did you do"
hicimos,"made, (we) made, (?) did we do"
visitó,"(she) visited, (?) did you visit, visit"
disfrutaron,"(?) did you enjoy, (you) enjoyed, enjoy"
caminé,"(I) walked, walk"
disfrutaste,(?) did you enjoy
hizo,"(?) did he do, (he) asked, (he) made"
hicieron,"(?) did they do, (?) did you make, (they) asked"
escribí,"(I) wrote, write"
escribiste,"(you) wrote, (?) did you write, write"
conoció,"meet, (?) did they meet, (he) knew"
bebieron,"drink, (?) did you drink, (they) drank"
cogimos,"got, get, made"
fresa,strawberry
emparedados,sandwiches
gata,cat
cómo,"how, what, how's"
tortuga,"turtle, tortoise"
arañas,"spiders, (you) scrape, (you) scratch"
cangrejos,crabs
tu,your
pingüino,penguin
toro,"bull, torus"
gafas,glasses
rosas,"rose, pink, roses"
púrpura,purple
café,"cafeteria, cafe, café"
corto,short
tamaño,size
enorme,"huge, enormous"
bajo,"under, low, short"
hongos,mushrooms
maíz,corn
lechuga,"lettuce, head of lettuce"
banano,banana
piña,"pineapple, rose"
uvas,grapes
como,"(I) eat, as, (I) am eating"
atún,tuna
pavo,turkey
aunque,"though, even if, while"
ajo,garlic
tío,uncle
acerca,about
contra,against
hacia,"to, towards, a"
cerca,"near, close, nearby"
según,"according to, it depends, as"
tiempos,"times, to play for time, movements"
proceso,"(I) process, (I) word-process, (I) prosecute"
realidad,reality
tipo,"type, guy, kind"
nombres,"names, first names"
obra,"play, performance"
informaciones,"information, news item, directory enquiries"
público,"public, open, crowd"
verdades,"(?) are they, (?) aren't there, (?) is he"
acciones,"actions, (you) activate, (you) operate"
servicio,"service, restroom"
producción,"production, output"
paz,peace
sector,"sector, area, group"
movimiento,"movement, activity, change"
posibilidades,"possibilities, chance, chances"
código,code
capacidad,"capacity, ability, able"
investigación,"investigation, research"
efectos,"effects, bill of exchange, contents"
necesidad,"necessity, need, essential"
calidad,"quality, status"
carácter,"character, characteristic, nature"
control,control
resultados,"results, performance"
importancia,"importance, import"
origen,"origin, country of origin, point of origin"
oficiales,"officers, official, officials"
crecimiento,growth
éxito,success
construcción,"construction, building, structure"
práctica,"practice, teaching practice, experience"
memoria,"memory, memoirs, report"
expresión,"expression, term"
conciencia,"conscience, awareness, consciousness"
creación,creation
aspecto,"aspect, appearance, look"
mirada,"look, gaze, careful with money"
suertes,"luck, lucky"
ocasión,occasion
contenido,"content, contained, contained oneself"
juicio,"trial, judgment, mind"
término,"term, conclusion, end"
selección,"selection, choice"
redes,"lets, networks"
acceso,"access, accession, attack"
visión,"vision, sight, view"
aplicación,app
pensamiento,"thought, pansy, thinking"
frecuencia,frequency
altura,"height, altitude, heights"
escena,scene
personajes,"characters, important figure, personages"
protección,protection
circunstancias,circumstances
propósito,"purpose, aim"
trabaja,"(?) do you work, (?) does he work, (?) does she work"
espera,"(she) hopes, (she) is waiting for, (you) wait"
usa,"(?) are you using, (?) does he wear, (he) is using"
ayuda,"help, (he) helps, (he) is helping"
jamás,"never, ever"
proyectos,projects
proyecto,project
tampoco,"neither, either, (I) don't"
use,(you) use
ayude,(you) help
escuche,"(you) listen up, (you) listen"
colega,colleague
colegas,colleagues
disponibles,available
disponible,available
tú haces,you do
tú pones,you put
haz,"(you) do, (you) make"
pon,(you) put
tú vas,you go
ve,"(he) watches, (she) sees, (you) go"
reuniones,meetings
reunión,meeting
usted hace,you do
haga,"(he) makes, (you) ask, (you) do"
ponga,(you) put
usted pone,you put
usted va,you go
vaya,"(I) go, (he) is going, (you) go"
empresas,"companies, businesses, firms"
empresa,"company, firm, business"
